condition,ROI_ID,candidate_ID,center_x,center_y,tangent_angle_deg,normal_angle_deg,Direction,channel,filter_method,smoothing_sigma_ref_px,half_level,valid,flag,FWHM,edge_width,CNR,peak_to_noise,background,background_SD,max_gradient,x50_left,x50_right,n_profiles_averaged,within_stack_SD_median,unit
UV,M4_002,M4_002,23.0,213.0,86.8788277891761,176.8788277891761,X,Lab_a,gaussian,0.75,0.5,True,,14.300376200080073,11.962422586373913,5.469145856334848,7.070515051079744,2.2648686170578003,1.8081550441503524,0.13357393818365915,-7.592728226629535,6.707647973450538,11,0.6644916534423828,common-reference-grid apparent pixels
NIR,M4_002,M4_002,23.0,213.0,86.8788277891761,176.8788277891761,X,Lab_a,gaussian,0.75,0.5,True,,4.442423922463654,18.056369973163157,3.7687867660293475,5.310816250046916,-7.054714918136597,0.18118222160339353,0.35130115094374226,-3.9710395044865874,0.4713844179770661,11,0.48795220255851746,common-reference-grid apparent pixels
UV,M4_005,M4_005,71.0,231.0,78.8274711439505,168.8274711439505,X,Lab_a,gaussian,0.75,0.5,True,,13.519074269218248,14.280309157712818,5.444907753466141,7.024306024511026,5.576129913330078,1.1072918486595154,0.13144306108427806,-6.912879850563239,6.606194418655008,11,0.8669400811195374,common-reference-grid apparent pixels
NIR,M4_005,M4_005,71.0,231.0,78.8274711439505,168.8274711439505,X,Lab_a,gaussian,0.75,0.5,True,,4.142200179837574,8.482399718109054,4.879588561447028,9.359113971973695,-7.141342639923096,0.17853536796569824,0.3474183110737348,-3.159938438376937,0.9822617414606369,11,0.5134333372116089,common-reference-grid apparent pixels
UV,M4_008,M4_008,221.0,238.0,98.244480809726,8.244480809726014,X,Lab_a,gaussian,0.75,0.5,True,,12.172669501414898,10.52460194925387,6.361981225217016,17.37774795755018,0.42970047891139984,0.5758887416861951,0.12786793878073233,-8.363679800837497,3.8089897005774,11,0.6720139384269714,common-reference-grid apparent pixels
NIR,M4_008,M4_008,221.0,238.0,98.244480809726,8.244480809726014,X,Lab_a,gaussian,0.75,0.5,True,,7.752944524367754,8.609099516600235,5.565817450807936,9.741770529765173,-7.468721866607666,0.26674149782802337,0.29526262541643455,-3.917958085602953,3.8349864387648016,11,0.672017514705658,common-reference-grid apparent pixels
UV,M4_010,M4_010,76.13637941650013,233.06477771654028,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,0.75,0.5,True,,13.068672859798886,12.244728806034392,5.633588657458503,9.953794949411446,6.265641927719116,0.7300292786942622,0.13573410504791705,-10.757841916185804,2.310830943613082,11,0.8900915384292603,common-reference-grid apparent pixels
NIR,M4_010,M4_010,76.13637941650013,233.06477771654028,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,0.75,0.5,True,,5.331002478108246,9.15923910467452,5.994831786222186,7.88573506517232,-7.054145812988281,0.1601038923740387,0.379849223260065,-6.177551417333347,-0.8465489392251003,11,0.531012773513794,common-reference-grid apparent pixels
UV,M4_011,M4_011,75.0,243.0,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,0.75,0.5,True,,19.569731536449027,13.28868359407098,4.2751654483807515,5.704210775932358,8.918032169342041,1.5180352942060042,0.12245127190403138,-12.879241858767129,6.690489677681897,11,1.8061444759368896,common-reference-grid apparent pixels
NIR,M4_011,M4_011,75.0,243.0,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,0.75,0.5,True,,8.586416821907545,14.879716296125887,5.174296550829333,5.736730225565758,-7.282137632369995,0.45992333965301513,0.24389747847162613,-5.304364075747006,3.2820527461605384,11,0.6687445640563965,common-reference-grid apparent pixels
